Nama Tempat,Alamat Lengkap,Jam Buka,Kategori,Agama,Rating,Jumlah Ulasan,Link Google Maps
Masjid Lama Gang Bengkok,"Jl. Mesjid No.62, Kesawan, Kec. Medan Bar., Kota Medan, Sumatera Utara 20212, Indonesia",Senin - Minggu: 24 Jam,Masjid,Islam,4.8,1035.0,https://www.google.com/maps/place/?q=place_id:ChIJIVBJFckxMTARZj9913s2Kko
Masjid Raya Datuk Badiuzzaman Surbakti,"HJ95+RWC, Sunggal, Medan Sunggal, Medan City, North Sumatra 20128, Indonesia",Senin - Minggu: 24 Jam,Masjid,Islam,4.8,110.0,https://www.google.com/maps/place/?q=place_id:ChIJg-P5Ow8vMTARg-aHic0hvBI
Masjid Ghaudiyah,"HMM9+M98, Jl. KH. Zainul Arifin, Petisah Tengah, Kec. Medan Petisah, Kota Medan, Sumatera Utara 20112, Indonesia",Senin - Minggu: 24 Jam,Masjid,Islam,4.7,105.0,https://www.google.com/maps/place/?q=place_id:ChIJ5V2fNdIxMTAReYvcHo22EPk
Al-Jihad Mosque,"HMH5+38G, Jl. Masjid Al Jihad No.22a, Babura, Medan Baru, Medan City, North Sumatra 20222, Indonesia",Senin - Jumat: 08:00 - 17:00,Masjid,Islam,4.9,4099.0,https://www.google.com/maps/place/?q=place_id:ChIJf7UJvdUvMTARk0nNjr6UsZ4
Masjid Raya Pusat Pasar Medan,"Jl. Pusat Pasar No.4, Pusat Ps., Kec. Medan Kota, Kota Medan, Sumatera Utara 20212, Indonesia",Senin - Minggu: 24 Jam,Masjid,Islam,4.6,747.0,https://www.google.com/maps/place/?q=place_id:ChIJaxHoMrgxMTARb2KDtlSIP98
Baiturrahman Mosque UNIMED,"JP49+HPM, Jl. Ismail Harun, Kenangan, Percut Sei Tuan, Deli Serdang Regency, North Sumatra 20371, Indonesia",Senin - Minggu: 24 Jam,Masjid,Islam,4.8,744.0,https://www.google.com/maps/place/?q=place_id:ChIJeYRpwG4xMTARpQUwbYbPMTQ
MASJID AL MUSANNIF,"JMHV+QWV, Jl. Cemara Perumahan Cemara Asri, Sampali, Percut Sei Tuan, Deli Serdang Regency, North Sumatra 20371, Indonesia",Senin - Minggu: 24 Jam,Masjid,Islam,4.8,3256.0,https://www.google.com/maps/place/?q=place_id:ChIJF4EQwi8yMTARItPuuNDyGV4
Masjid Muslimin,"Jl. Sei Batang Serangan No.93 / 6, Babura, Kec. Medan Baru, Kota Medan, Sumatera Utara 20153, Indonesia",Senin - Minggu: 24 Jam,Masjid,Islam,4.8,209.0,https://www.google.com/maps/place/?q=place_id:ChIJIWNY-CouMTAR4u0s9ap1x0w
Syekh Hasan Maksum Mosque,"HMHV+63M, Jl. Puri, Matsum I City, Medan Area, Medan City, North Sumatra 20215, Indonesia",,Masjid,Islam,4.7,23.0,https://www.google.com/maps/place/?q=place_id:ChIJjQE1ZU0wMTARdiMEF_6_KTs
Masjid Al - Hilal,"Jl. Bajak 2 No.10 Kel, Harjosari II, Medan Amplas, Medan City, North Sumatra 20219, Indonesia",,Masjid,Islam,4.8,232.0,https://www.google.com/maps/place/?q=place_id:ChIJEdH-uXgwMTARnuFKKShKOm8
